SRLNUM,MRHST_NM,MRHST_LA,MRHST_LO,MRHST_CTPRVN_CD,MRHST_CTPRVN_NM,MRHST_SIGNGU_CD,MRHST_SIGNGU_NM,MRHST_ADSTRD_CD,MRHST_ADSTRD_NM,MRHST_FLAG_CD,MRHST_FLAG_CD_NM
3315,일미밀면,35.2222476,129.1514126,21,부산광역시,21090,해운대구,2109072,반송1동,B,급식카드가맹점
3316,일미정,35.1836866,129.2019083,21,부산광역시,21090,해운대구,2109056,송정동,B,급식카드가맹점
3317,일미향,35.3236987,129.1861395,21,부산광역시,21310,기장군,2131013,정관읍,B,급식카드가맹점
3318,일성관,35.1002019,129.0254423,21,부산광역시,21010,중구,2101056,부평동,B,급식카드가맹점
3319,일성관,35.1033607,129.0036598,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3320,일송면옥,35.2286986,129.0918118,21,부산광역시,21110,금정구,2111058,부곡2동,B,급식카드가맹점
3321,일신관,35.0865947,129.0636985,21,부산광역시,21040,영도구,2104063,청학1동,B,급식카드가맹점
3322,일품향,35.1241424,129.1131731,21,부산광역시,21070,남구,2107057,용호1동,B,급식카드가맹점
3323,자금성,35.1647999,129.0346464,21,부산광역시,21050,부산진구,2105080,당감제1동,B,급식카드가맹점
3324,자금성,35.2642640,129.0202081,21,부산광역시,21080,북구,2108054,금곡동,B,급식카드가맹점
3325,자금성반점,35.0989062,128.9986183,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3326,자매국밥,35.1582999,129.1256897,21,부산광역시,21140,수영구,2114060,민락동,B,급식카드가맹점
3327,자매네분식,35.1189868,129.0108481,21,부산광역시,21020,서구,2102057,서대신4동,B,급식카드가맹점
3328,자스민커피(1번출구),35.2299530,129.0866991,21,부산광역시,21110,금정구,2105080,당감제1동,B,급식카드가맹점
3329,자유손칼국수,35.1228710,129.0843298,21,부산광역시,21070,남구,2107062,감만1동,B,급식카드가맹점
3330,자장면시키신분,35.0490841,128.9646761,21,부산광역시,21100,사하구,2110062,다대1동,B,급식카드가맹점
3332,장가계,35.1586964,129.1125881,21,부산광역시,21140,수영구,2114056,광안1동,B,급식카드가맹점
3333,장군동3가9번지,35.2014370,129.0888667,21,부산광역시,21060,동래구,2106051,수민동,B,급식카드가맹점
3334,장군만두,35.0996648,129.0190247,21,부산광역시,21020,서구,2102061,아미동,B,급식카드가맹점
3335,장군짜장,35.3300070,129.2834878,21,부산광역시,21310,기장군,2131012,장안읍,B,급식카드가맹점
3336,장만호쌀국수,35.2154427,128.9814973,21,부산광역시,21120,강서구,2112051,대저1동,B,급식카드가맹점
3338,장산밀면,35.2015167,129.1196093,21,부산광역시,21090,해운대구,2109070,반여1동,B,급식카드가맹점
3339,장수돼지국밥,35.1835506,129.0071072,21,부산광역시,21150,사상구,2115052,모라1동,B,급식카드가맹점
3340,장수밀면점,35.1306889,129.0482603,21,부산광역시,21030,동구,2103070,좌천동,B,급식카드가맹점
3341,장수아구찜,35.2250561,129.1483411,21,부산광역시,21090,해운대구,2109072,반송1동,B,급식카드가맹점
3342,장안돼지국밥,35.0578301,128.9735809,21,부산광역시,21100,사하구,2110062,다대1동,B,급식카드가맹점
3343,장우동,35.1022444,129.0200919,21,부산광역시,21020,서구,2102059,부민동,B,급식카드가맹점
3344,장우동,35.2324613,129.1544977,21,부산광역시,21090,해운대구,2109072,반송1동,B,급식카드가맹점
3345,장원숯불갈비,35.0981063,129.0209788,21,부산광역시,21020,서구,2102064,충무동,B,급식카드가맹점
3346,장터 국밥,35.1700596,129.1174558,21,부산광역시,21140,수영구,2114053,수영동,B,급식카드가맹점
3347,장터마을,35.0993962,128.9952036,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3348,장터칼국수,35.1498509,129.1122118,21,부산광역시,21140,수영구,2114056,광안1동,B,급식카드가맹점
3349,재단법인 대선공익재단,35.1193134,129.0412654,21,부산광역시,21030,동구,2103051,초량1동,B,급식카드가맹점
3350,재벌분식,35.0805518,129.0671736,21,부산광역시,21040,영도구,2104065,동삼1동,B,급식카드가맹점
3351,잼있는 부엌,35.1906544,129.0906988,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
3352,정가집,35.3207505,129.1790778,21,부산광역시,21310,기장군,2131013,정관읍,B,급식카드가맹점
3353,정가집,35.1579075,129.0553495,21,부산광역시,21050,부산진구,2105052,부전2동,B,급식카드가맹점
3354,정림정식당,35.1810645,129.0685480,21,부산광역시,21130,연제구,2113051,거제1동,B,급식카드가맹점
3355,정미김밥,35.2638221,129.0198196,21,부산광역시,21080,북구,2108054,금곡동,B,급식카드가맹점
3356,정상칼국수,35.1541648,128.9796203,21,부산광역시,21150,사상구,2115065,감전동,B,급식카드가맹점
3357,정성식당,35.2303776,129.0847057,21,부산광역시,21110,금정구,2111061,장전1동,B,급식카드가맹점
3358,정원각,35.1048449,129.0074403,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3359,정직유부 부민점,35.1030355,129.0187803,21,부산광역시,21020,서구,2102059,부민동,B,급식카드가맹점
3360,정해해물쟁반짜장,35.1787048,129.0811631,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
3361,제이앤제이김밥이야기,35.1578933,129.0237408,21,부산광역시,21050,부산진구,2105074,개금1동,B,급식카드가맹점
3362,제일반점,35.2177078,129.1011091,21,부산광역시,21110,금정구,2111051,서1동,B,급식카드가맹점
3363,제일백반,35.1343034,129.0745968,21,부산광역시,21070,남구,2107066,문현1동,B,급식카드가맹점
3364,제주도 해장국,35.2293372,129.0847332,21,부산광역시,21110,금정구,2111061,장전1동,B,급식카드가맹점
3365,제주생고기촌,35.0988602,128.9870483,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3366,젠틀FOOD(남포점),35.1047416,129.0258522,21,부산광역시,21010,중구,2101054,보수동,B,급식카드가맹점
3367,조선스낵,35.1610213,129.1195319,21,부산광역시,21140,수영구,2114056,광안1동,B,급식카드가맹점
3368,조선에옛날통닭,35.0925041,129.0236745,21,부산광역시,21020,서구,2102065,남부민1동,B,급식카드가맹점
3369,조은통닭,35.0551770,128.9719736,21,부산광역시,21100,사하구,2110062,다대1동,B,급식카드가맹점
3370,종로떡방,35.1812696,129.0848191,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
3371,종주돼지국밥,35.2075643,129.0725988,21,부산광역시,21060,동래구,2106055,온천1동,B,급식카드가맹점
3372,좋은날엔물회랑찌개랑,35.2032343,129.0981741,21,부산광역시,21060,동래구,2106061,안락1동,B,급식카드가맹점
3373,죠스떡볶이,35.0926042,129.0442772,21,부산광역시,21040,영도구,2104059,봉래1동,B,급식카드가맹점
3374,주공감자탕,35.1831288,129.0003754,21,부산광역시,21150,사상구,2115052,모라1동,B,급식카드가맹점
3375,주공반점,35.1849274,128.9985085,21,부산광역시,21150,사상구,2115052,모라1동,B,급식카드가맹점
3376,주례칼국수,35.1503023,129.0035885,21,부산광역시,21150,사상구,2115060,주례1동,B,급식카드가맹점
3377,주방장분식,35.2527882,129.0142472,21,부산광역시,21080,북구,2108054,금곡동,B,급식카드가맹점
3378,주식회사 애플아울렛,35.1631462,128.9809858,21,부산광역시,21150,사상구,2115057,괘법동,B,급식카드가맹점
3379,죽이야기 영도동삼점,35.0815559,129.0708621,21,부산광역시,21040,영도구,2104065,동삼1동,B,급식카드가맹점
3380,준짬뽕,35.1731587,128.9816728,21,부산광역시,21150,사상구,2115055,덕포1동,B,급식카드가맹점
3381,중국관,35.0788806,129.0684343,21,부산광역시,21040,영도구,2104065,동삼1동,B,급식카드가맹점
3382,중국관대가호,35.0998130,128.9895891,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3383,중국성,35.1632781,129.0309063,21,부산광역시,21050,부산진구,2105080,당감제1동,B,급식카드가맹점
3384,중식연구소 중연,35.2415228,129.0210072,21,부산광역시,21080,북구,2108055,화명1동,B,급식카드가맹점
3385,중화루,35.1945549,129.1061227,21,부산광역시,21060,동래구,2106061,안락1동,B,급식카드가맹점
